CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC,DTS
8.6719,0.1746,58.7692,1.9416,2.0589,6.6631,2.5029,82.6453,137.9748
8.5781,0.3621,48.63800000000001,0.5589,0.488,6.2442,2.1987,110.8694,272.0096
8.625,0.1719,15.7949,15.2305,15.449000000000002,5.0723,2.2186,85.807,134.3893
8.625,0.2086,35.1164,3.9056,4.5508,5.0875,2.2182,91.1013,140.7795
8.5469,0.3428,50.0704,0.7403,0.5936,5.8782,2.2615,75.5558,251.9375
8.625,0.1074,23.4069,3.9873,4.9023,7.6547,2.5869,68.9229,131.326
8.6875,0.078,8.3479,4.5705,5.0385,8.5052,2.5925,64.3465,122.821
8.625,0.1841,8.381,1.4571,1.4941,8.1444,2.4327,74.4237,123.006
8.625,0.1323,11.4176,82.6241,131.0099,5.1173,2.2385,76.0902,122.4604
8.625,0.0604,3.0993,6.5588,7.6956,8.4661,2.6,59.622,106.235
8.6719,0.1198,13.996,2.6263,3.2126,8.3683,2.5607,69.6535,127.5034
8.6719,0.2264,41.8387,1.1681,1.3022,8.8474,2.6089,80.8669,138.5396
8.5781,0.378,89.1341,0.754,0.6975,6.4501,2.3814,111.7401,254.7796
8.625,0.0911,11.1862,4.3098,4.7311,8.369,2.5914,66.4755,120.7752
8.625,0.0934,1.8917,3.6948,3.7586,8.5161,2.559,63.6645,115.2581
8.5781,0.0509,7.4731,9.7849,10.6046,7.8538,2.6169,58.7104,103.8432
8.625,0.1074,27.3823,3.5034,3.9648,7.885,2.6001,71.7982,131.1822
8.5781,0.2964,28.4739,0.3645,0.3344,5.5026,2.1312,103.7926,205.0196
8.625,0.1876,34.0479,5.7273,6.694,5.2137,2.2499,86.5558,140.0191
8.6719,0.1224,3.3005,2.4977,2.4661,8.3597,2.5153,69.0152,126.5134
8.625,0.1251,2.9064,2.0249,2.1136,8.4518,2.5056,67.9279,125.5512
8.625,0.1191,35.4589,3.1159,3.4601,7.5964,2.5751,74.1856,131.2517
8.7031,0.1184,42.9579,2.316,3.4534,5.4969,2.5272,74.1218,125.9521
8.625,0.0463,8.8633,10.595,11.7923,7.7706,2.6123,58.3459,98.7214
8.6719,0.047,34.8693,10.8705,16.9758,7.3708,2.6705,56.3632,111.506
8.5781,0.0464,4.5779,8.8573,9.9921,8.2908,2.6407,57.3828,106.5563
8.6094,0.4475,83.2539,0.7814,0.7376,7.4245,2.3753,115.4143,288.7671
8.5469,0.2366,29.4882,0.4058,0.3726,4.9583,2.2258,91.9093,168.5321
8.6927,0.1162,6.3107,2.376,2.4525,8.387,2.521,67.8534,118.9602
8.625,0.0848,7.8059,4.71,5.1405,8.3315,2.6051,66.6766,117.1804
8.6719,0.0562,5.0423,6.4409,7.0464,8.6942,2.6143,60.7152,113.3368
8.625,0.0826,4.8063,3.2883,4.0224,8.2517,2.5722,64.5452,121.8439
8.6094,0.0643,20.8917,8.2249,8.1888,7.4753,2.5997,63.2766,108.3127
8.625,0.0739,5.4465,4.9907,5.2083,8.3098,2.594,63.3605,118.2681
8.7031,0.0876,21.5296,6.2423,6.4622,7.6982,2.5739,66.0023,114.6931
8.6719,0.1024,11.7917,3.2389,3.6616,8.1836,2.5454,67.2365,126.5202
8.7031,0.2225,61.4594,1.5212,0.9864,6.9149,2.5539,84.8753,142.7786
8.6719,0.2222,66.3031,1.8005,1.8693,7.5766,2.56,85.4819,162.0218
8.625,0.121,3.3118,2.2131,2.5293,8.4454,2.5043,69.5922,128.6111
8.625,0.0937,2.9111,3.2012,3.5299,8.5639,2.5567,65.969,121.1577
8.6016,0.0849,18.3775,4.0394,4.7282,8.0218,2.585,66.2448,119.9837
8.625,0.091,22.9763,4.6853,5.1856,7.599,2.5843,68.7459,118.5554
8.5781,0.287,29.7747,0.349,0.3322,5.1778,2.1611,107.9895,210.284
8.625,0.1191,29.0611,3.9116,4.6281,7.6481,2.5810000000000004,71.8865,134.9052
8.75,0.0762,8.8057,5.5915,5.8328,8.4185,2.5927,64.4064,119.4982
8.6719,0.0632,14.0239,55.7051,85.3353,6.4542,2.5413,65.9459,103.6359
8.6719,0.1031,5.1238,3.3722,3.8133,8.5281,2.5402,67.5602,123.456
8.7813,0.2263,90.8975,1.3242,1.3015,6.9199,2.5202,84.7845,139.6637
8.625,0.1733,37.4926,4.3621,4.5262,5.3999,2.3222,85.0848,139.1926
8.625,0.0569,5.5433,6.9732,7.621,8.2872,2.6112,62.2574,115.2046
8.6719,0.1475,10.4681,1.8506,2.0719,8.2504,2.4995,74.1145,139.1299
8.5781,0.3361,80.4565,0.7219,0.6949,6.1563,2.3782,108.5863,191.5143
8.625,0.2588,27.25,0.3132,0.2978,5.3937,2.1865,99.5255,192.6277
8.6719,0.104,82.087,1.9887,2.7673,5.8043,2.5515,70.8455,120.8988
8.625,0.1514,37.4931,2.5197,2.9417,7.6896,2.5691,78.4155,144.0183
8.625,0.0996,7.1610000000000005,4.4025,4.7410000000000005,7.8231,2.5369,66.2224,120.8746
8.625,0.0701,7.2647,4.8415,5.4886,8.3388,2.603,64.2714,113.097
8.625,0.0965,21.8904,3.7392,4.3241,8.1531,2.6107,70.057,129.8326
8.625,0.1069,7.7964,2.5049,2.9409,8.3665,2.5568,69.2912,129.4335
8.5781,0.2767,25.4341,0.4396,0.3542,4.997,2.1706,89.5405,245.3123
8.625,0.2587,27.8998,0.3072,0.2936,5.2845,2.1684,99.3197,194.2154
8.625,0.0952,23.6044,4.4430000000000005,4.9125,7.94,2.5891,68.6952,122.508
8.625,0.0717,4.9755,5.0468,5.3062,8.3379,2.5894,63.6485,119.0698
8.7031,0.1148,37.1806,1.2226,1.5056,5.198,2.4603,76.7754,124.9312
8.625,0.0966,25.635,3.7732,4.328,8.123,2.608,71.1279,129.002
8.625,0.0522,5.0638,7.7163,8.843,8.4684,2.6193,58.7506,107.2024
8.625,0.1123,30.7921,3.3710000000000004,3.9342,7.2075,2.5518,73.8851,138.269
8.5781,0.0643,3.3665,6.3643,7.294,8.1984,2.6288,61.4356,109.952
8.6719,0.2669,28.1871,0.3063,0.287,5.421,2.17,100.3473,194.9842
8.625,0.1534,36.7126,2.5331,2.963,7.6846,2.5699,78.4294,144.2121
8.6719,0.14400000000000002,8.5645,2.1011,2.2983,8.2837,2.49,71.5944,124.0781
8.6719,0.1281,9.8696,2.2202,2.4382,8.3634,2.5144,70.5144,132.2074
8.625,0.0802,24.0727,38.5688,56.413,6.3874,2.6142,68.4462,112.6441
8.6719,0.1299,10.3602,2.3041,2.6811,7.9461,2.5089,69.4674,126.9413
8.625,0.0598,10.2286,9.6427,10.2427,7.7092,2.6016,60.0976,104.7551
8.625,0.1097,24.6049,5.3539,5.3932,6.2233,2.5095,68.21600000000001,106.5389
8.625,0.0845,14.7612,6.9097,6.9714,8.2059,2.6082,68.6226,130.4626
8.6927,0.117,9.1642,2.6748,3.0228,8.4987,2.5342,68.8761,127.5903
8.6719,0.171,49.7397,2.2531,2.3080000000000003,6.8853,2.5195,78.9973,139.7733
8.625,0.1727,12.8703,1.8285,1.8913,7.9425,2.4701,74.819,141.0721
8.625,0.092,6.1864,4.3385,4.6295,8.4599,2.5735,65.6142,121.0521
8.625,0.2293,47.4318,2.2084,2.2145,5.5956,2.2502,90.2863,141.954
8.625,0.0445,4.6287,8.6091,9.5683,8.4431,2.6375,58.3731,108.3937
8.6016,0.1688,52.7665,2.6785,2.3409,5.2921,2.26,88.5922,142.1829
8.75,0.0758,7.1288,5.0453,5.7833,8.3962,2.5754,63.188,109.1483
8.6719,0.1223,15.918,2.5234,2.9128,8.007,2.5346,71.7514,132.1944
8.5781,0.0655,12.1135,8.3356,8.4916,8.0452,2.6012,62.0031,112.2609
8.625,0.0988,3.0888,3.4132,3.706,8.4461,2.565,65.0152,120.2005
8.5781,0.399,74.3378,0.8757,1.0114,6.3309,2.3259,104.7939,265.6508
8.6719,0.2909,60.4734,2.4623,3.2463,8.2412,2.6921,78.8659,131.875
8.6719,0.4087,173.6065,1.7628,1.7195,6.8749,2.2615,116.316,229.4277
8.6719,0.1668,53.662,2.3969,2.638,6.9528,2.5218,80.6051,135.7593
8.625,0.0792,9.7266,4.7834,5.2854,8.2889,2.6077,64.9524,117.3877
8.7031,0.146,6.5944,1.9146,1.9978,8.0115,2.4773,70.304,131.0773
8.625,0.1096,26.5271,3.3055,3.7655,7.7596,2.57,70.617,132.7025
8.6719,0.0771,10.5644,6.0506,6.6561,7.8432,2.5866,63.3774,113.228
8.625,0.07400000000000001,8.4064,5.4478,5.6836,8.3803,2.5861,63.5175,118.3478
8.625,0.0955,24.5561,3.8413,4.5645,8.1715,2.608,70.9475,120.4127
8.625,0.094,12.5311,67.229,102.4666,5.754,2.3362,68.1248,108.6821
8.6719,0.1182,8.7339,2.6443,2.9769,8.4263,2.5368,69.0714,128.4118
8.6484,0.3241,145.7078,1.6422,1.6856,7.02,2.4598,100.1968,185.5309
8.7031,0.2218,46.78,1.5438,1.4175,6.1437,2.2977,80.9075,132.6658
8.625,0.3549,58.6675,0.8727,0.6959,6.6599,2.3209,93.9474,294.0555
8.625,0.1136,28.8588,3.2645,3.6353,7.5242,2.5829,73.5876,139.78799999999998
8.6719,0.19,51.8383,1.9954,2.1892,7.0120000000000005,2.5161,85.4832,163.043
8.7031,0.1525,8.8362,1.8086,1.8723,8.1179,2.4622,71.9263,133.5768
8.6719,0.071,5.2848,3.8458,4.4627,8.4987,2.5954,63.1399,121.0948
8.625,0.0767,7.0605,3.9887,4.6661,8.3669,2.5757,61.525,108.6042
8.5781,0.4538,89.6059,0.5888,0.5997,6.6889,2.2917,108.5364,251.1713
8.625,0.2511,27.5402,0.3424,0.2771,5.4415,2.1915,91.2897,186.2017
8.6719,0.0961,7.976,3.5236,3.9958,8.3703,2.5522,62.9961,117.8984
8.6719,0.0869,6.8658,3.638,4.3609,8.4654,2.5761,64.1896,115.3539
8.625,0.0969,6.2167,3.2532,4.1116,8.561,2.5608,63.8239,111.645
8.6719,0.1199,16.0358,2.4995,2.9617,8.0613,2.5465,72.0013,132.5277
8.5781,0.0684,3.3704,5.1683,7.2032,8.1776,2.6151,58.3756,110.8578
8.6016,0.4046,47.2408,0.4463,0.3739,6.2355,2.1689,109.1412,175.6203
8.6719,0.1579,43.1038,2.3083,2.5283,7.7829,2.557,78.8122,146.4301
8.625,0.1032,7.6732,2.8465,3.4497,8.3944,2.5644,68.8545,125.595
8.6602,0.1014,12.2342,3.5623,3.9877,7.8648,2.5602,68.0731,120.3906
8.6719,0.1798,48.1207,2.1331,2.3614,7.6928,2.5611,82.1608,155.6956
8.625,0.2868,123.2392,1.601,1.7023,6.921,2.4926,93.6088,176.845
8.7031,0.1616,51.7005,2.1887,2.4443,6.787000000000001,2.5095,82.8725,142.0857
8.5781,0.0755,12.3499,6.4904,6.6737,8.0655,2.6185,68.1018,120.8526
8.5469,0.2504,25.6193,0.506,0.4513,5.0013,2.2256,91.8021,174.9595
8.6484,0.1037,10.2622,3.2182,3.6753,8.3431,2.5772,67.4761,118.768
8.6719,0.1635,52.8422,2.366,2.5819,6.8692,2.5176,81.3729,135.5766
8.625,0.1096,33.6265,3.3101,4.0247,7.7789,2.6007,74.4357,138.4993
8.625,0.1025,25.4511,3.5936,3.9671,8.1782,2.5988,70.9496,129.244
8.6016,0.4029,85.2817,1.2042,1.3421,7.5018,2.3769,103.9035,261.449
8.625,0.1107,2.5252,2.2044,2.123,8.6314,2.4891,67.0178,124.5378
8.6719,0.1365,9.9884,2.0234,2.2449,7.9646,2.502,70.64399999999998,129.4142
8.625,0.0663,4.9958,7.0171,7.1736,8.3338,2.6022,60.2532,112.662
8.7031,0.1202,11.228,2.4299,2.8116,8.4374,2.5305,68.8783,125.9014
8.6719,0.1658,6.0811,1.6684,1.62,8.2539,2.4561,73.2603,135.8442
8.625,0.1331,30.3836,3.1632,3.8984,8.1075,2.5956,74.6816,140.0029
8.7266,0.1154,22.3788,2.4971,2.8886,5.9901,2.4357,72.3643,118.169
8.625,0.1653,14.1949,19.5928,27.1065,4.9841,2.2025,88.2589,139.1862
8.7031,0.2092,40.904,0.8928,0.823,7.4289999999999985,2.5448,83.6479,140.483
8.625,0.2568,27.5396,0.3049,0.2908,5.3275,2.1714,100.5769,195.5817
8.6719,0.1091,8.5615,3.1643,3.6389,8.0107,2.5369,66.079,115.2265
8.5781,0.2136,30.9121,4.6647,5.0872,5.5067,2.267,87.9542,141.4105
8.6719,0.0955,14.4547,3.789,4.4345,7.7664,2.5619,67.598,116.4267
8.625,0.069,5.6129,6.5986,8.3173,8.6534,2.6047,60.4343,109.0442
8.625,0.0799,10.7651,5.9477,6.6586,8.015,2.5757,61.9046,111.1965
8.625,0.0775,20.531,7.4787,7.9037,7.7764,2.5984,66.1357,116.0022
8.6484,0.2283,82.7204,1.5926,1.5875,7.3506,2.5702,87.4493,175.4406
8.625,0.0971,19.9043,3.6974,4.3788,7.973,2.5902,70.0284,122.5559
8.5781,0.2718,37.8139,0.32,0.3048,4.9658,2.1659,101.0178,186.6386
8.625,0.1396,6.7814,2.3007,2.5382,8.1496,2.4964,70.2633,129.3495
8.75,0.1789,64.098,2.1858,2.3297,6.9183,2.5175,83.3376,134.4376
8.625,0.1181,31.4116,2.8427,3.5714,8.104,2.5827,74.0131,137.5785
8.6719,0.2769,110.5264,1.4427,1.3852,6.9186,2.5008,89.963,173.7673
8.625,0.0561,10.8174,7.1686,8.505,7.7672,2.6,60.1489,105.8107
8.625,0.1777,54.6745,1.9578,2.0582,7.8566,2.5907,79.5553,149.6945
8.625,0.0576,4.2829,7.5371,7.899,8.2269,2.6212,58.5417,113.2571
8.5781,0.314,42.7852,0.5632,0.4918,5.4962,2.1812,94.9399,280.3945
8.625,0.2383,90.1094,1.4699,1.5407,7.8088,2.6036,87.8427,177.8587
8.625,0.1803,7.5642,1.6328,1.6897,8.1318,2.4428,73.8518,136.6485
8.5781,0.1065,11.8155,3.7618,5.4131,7.941,2.5394,69.1524,126.546
8.625,0.1628,41.3931,4.2133,5.4670000000000005,5.2266,2.2574,85.8325,136.7254
8.5781,0.2504,28.6455,0.3537,0.3325,4.9412,2.1949,95.8879,181.1781
8.625,0.0638,9.7463,5.1399,5.7073,8.351,2.6088,61.7234,114.3061
8.6719,0.1381,12.4508,2.3962,2.6685,8.3993,2.5205,70.31,128.5845
8.6719,0.1033,5.704,3.3925,3.8306,8.4493,2.5408,67.9541,124.1506
8.625,0.0763,6.4498,5.3052,5.8957,8.2484,2.5951,63.4719,118.1345
8.625,0.1207,34.363,3.0165,3.4169,7.4796,2.5713,74.6253,137.197
8.6719,0.0753,18.8967,5.5887,6.5117,7.9529,2.5812,66.6299,109.1409
8.7031,0.1101,4.3558,3.069,3.5055,8.4762,2.5207,65.6022,120.5792
8.7813,0.1159,8.6603,2.6946,3.0476,8.8027,2.5399,69.3425,128.3341
8.6563,0.1139,2.7273,2.6532,2.5312,8.265,2.4943,66.3367,117.3631
8.625,0.0925,7.724,3.8428,4.2806,8.2213,2.5768,66.6544,124.1644
8.625,0.1486,43.1273,2.2819,2.7463,7.8783,2.5653,79.3129,148.3348
8.625,0.0123,2.6188,20.628,31.5791,8.5887,2.6845,53.2574,99.6685
8.625,0.1546,43.4105,2.4947,2.7688,7.5478,2.5611,79.084,148.1388
8.625,0.2257,39.6242,4.4625,4.6089,5.2782,2.2102,92.9954,150.7229
8.7031,0.1387,10.682,1.9061,2.0648,8.1683,2.4862,71.998,133.9408
8.6484,0.0098,2.9255,20.5225,31.7081,8.583,2.6834,53.5584,100.1476
8.625,0.0549,13.5278,9.8401,10.1217,7.6029,2.6105,58.3978,102.4575
8.625,0.0564,10.4387,10.5115,11.1916,7.5585,2.6013,58.6239,103.1525
8.625,0.1741,16.4595,9.6427,11.3031,5.0005,2.2038,86.0231,138.5569
8.5781,0.0605,2.9217,6.4587,7.3828,8.1996,2.6307,61.69300000000001,109.6766
8.625,0.0816,20.6489,5.2251,5.8137,7.665,2.5816,66.0774,110.1094
8.625,0.0463,5.4171,8.4869,9.4182,8.3497,2.628,59.8896,109.2826
8.625,0.1721,15.9418,1.7228,1.8548,7.9944,2.4782,74.8698,144.4199
8.6563,0.245,44.9055,1.2682,1.3707,5.8827,2.2161,94.1471,145.9789
8.625,0.0706,6.5714,5.2475,5.4793,8.4304,2.5995,64.0251,120.7133
8.625,0.3341,157.4215,1.645,1.6512,7.0667,2.4536,99.2354,187.25
8.625,0.439,221.1183,2.1971,2.2778,7.3391,2.2503,114.521,218.0694
8.625,0.2908,122.5244,1.5962,1.6878,6.9223,2.4945,92.2566,177.4212
8.6719,0.1227,9.4449,2.4071,2.7341,7.9891,2.5217,69.4117,127.1111
8.5781,0.3241,33.994,0.3361,0.2883,5.4664,2.1451,116.7344,341.48800000000006
8.6484,0.1455,33.6395,2.6963,3.1539,7.7144,2.5777,76.456,152.0448
8.625,0.28300000000000003,122.6231,1.5989,1.6947,6.9033,2.4881,94.3239,177.2666
8.5469,0.2753,33.4685,0.3242,0.3029,5.0401,2.172,99.8292,192.3934
8.625,0.1261,22.0159,2.7503,3.3398,8.0073,2.5776,75.1373,140.9289
8.6484,0.0958,22.139,4.3688,4.9126,7.8226,2.5829,68.7396,122.4967
8.625,0.1164,32.0616,2.8461,3.5683,8.158,2.5859,73.5894,136.0545
8.6719,0.0746,8.8607,4.5646,4.9411,8.3395,2.5947,62.7839,116.6714
8.6875,0.2213,70.9256,1.7239,1.8842,7.3722,2.6014,73.41,124.679
8.7031,0.0726,8.1816,5.3486,6.1144,8.3416,2.5931,64.5335,119.3054
8.625,0.0559,5.2495,6.0222,6.641,8.356,2.6260000000000003,58.0181,108.6702
8.625,0.1241,34.1547,2.6748,3.4711,7.9749,2.5928,75.2529,131.7531
8.625,0.0336,1.8034,14.9582,20.427,8.5409,2.6462,53.8756,100.5555
8.6484,0.108,12.0053,196.7862,62290.7695,5.8187,2.4252,70.9457,119.4943
8.6719,0.1377,10.5144,1.9726,2.2179,8.0414,2.4934,70.8668,132.5214
8.5469,0.2419,30.8593,0.4045,0.371,4.9731,2.2259,92.1323,168.891
8.6719,0.1197,2.8115,2.0926,2.3874,8.4861,2.4979,67.8107,125.0609
8.6719,0.1665,53.3859,2.3969,2.6459,6.9938,2.526,80.3016,137.1226
8.5781,0.0729,6.0379,5.1885,6.0179,8.3249,2.6013,61.9014,116.2249
8.6016,0.3248,47.1349,0.7434,0.7977,6.1154,2.2545,102.6619,294.23
8.5781,0.064,6.2499,7.596,7.7693,7.8841,2.5939,58.5001,108.2873
8.5781,0.38,71.8896,0.5504,0.5256,6.1751,2.2451,104.8593,253.1346
8.5781,0.0777,12.9835,6.296,6.1001,8.0472,2.6180000000000003,68.0997,121.4595
8.625,0.0724,6.472,5.1471,5.5604,8.3249,2.5839,63.3177,118.848
8.625,0.0794,21.4371,6.5046,6.5765,7.3981,2.5919,64.5054,109.4158
8.6719,0.0676,6.3184,3.8859,5.6118,8.676,2.6001,66.1264,121.4902
8.7031,0.0953,18.4538,5.0733,6.2794,8.0448,2.6115,65.1725,113.6097
8.625,0.2038,32.069,4.4860000000000015,4.3162,5.2951,2.2443,91.9159,144.8342
8.625,0.1087,7.4298,2.7964,3.3047,8.4982,2.5684,69.3836,126.7342
8.6719,0.1451,8.7783,1.9324,2.0397,8.0933,2.4835,70.5319,131.1265
8.5469,0.4005,54.0782,0.6701,0.6074,6.404,2.3534,87.9814,266.1853
8.625,0.1669,34.701,2.6227,5.1104,5.9167,2.3289,79.8644,133.175
8.6719,0.2774,122.902,1.5587,1.55,6.8393,2.4739,95.4467,178.1722
8.6719,0.08800000000000001,7.3476,3.0813,3.712,8.4197,2.5591,65.4778,120.4341
8.5469,0.2515,52.1926,1.2166,1.7969,7.0111,2.441,84.4948,242.2138
8.6719,0.0734,7.624,4.1441,4.9728,8.4348,2.5673,61.9598,118.8449
8.6719,0.1908,34.1407,2.9897,3.8189,6.8613,2.5188,79.9712,136.4348
8.5781,0.2805,27.7897,0.3299,0.3184,5.1145,2.1478,107.1446,210.683
8.5781,0.2158,30.2308,4.5372,4.9808,5.398,2.2395,88.9114,139.3974
8.625,0.2226,62.3311,1.2344,1.0346,5.6426,2.3032,91.5172,144.3225
8.5469,0.3403,48.6219,0.6184,0.5465,6.1067,2.2464,82.376,264.577
8.7031,0.0959,5.3028,3.2001,4.0077,8.6175,2.5616,64.4884,115.0666
8.6719,0.0807,18.2157,6.4691,6.9877,7.7182,2.5905,65.0252,114.4942
8.625,0.1116,28.8229,3.6708,4.1549,8.3166,2.6078,71.7904,121.2928
8.7031,0.1677,58.0079,1.9819,2.0731,6.6431,2.4891,82.0346,136.4804
8.625,0.1084,26.2959,3.3474,3.8246,7.4612,2.5838,73.2932,139.7522
8.625,0.0525,13.4253,9.7275,10.4387,7.6393,2.6233,59.5827,107.9563
8.625,0.067,13.6771,7.4521,7.7822,8.1457,2.6417,62.3491,119.464
8.625,0.0446,3.8835,7.8014,8.6163,8.4024,2.6328,58.0844,106.139
8.5781,0.0813,20.3179,8.5755,8.7383,7.4628,2.5881,64.8765,111.8118
8.625,0.0613,6.0161,5.6965,6.9009,8.2248,2.6363,60.1291,114.6049
8.6719,0.0992,12.6696,3.8369,4.3055,7.9099,2.5665,68.222,118.7816
8.6719,0.1365,10.2004,2.0455,2.2840000000000003,7.9915,2.5062,70.8862,129.865
8.625,0.0721,21.0415,8.3679,8.4308,7.4819,2.5964,64.7678,111.4237
8.5469,0.2343,29.4391,0.4187,0.38,4.9501,2.2291,91.6726,157.62
8.5469,0.2562,30.3784,0.4204,0.3773,5.428,2.1997,86.8061,277.188
8.6875,0.1364,10.5267,1.9318,2.1607,8.1221,2.4938,71.5791,132.5773
8.6719,0.2758,120.5701,1.4159,1.4224,6.7889,2.4802,91.6148,175.66400000000004
8.6719,0.175,60.8619,1.9767,2.1046,6.7417,2.4988,83.4847,139.6834
8.7031,0.1102,8.4547,2.9093,3.4415,8.4741,2.5237,64.2183,121.7393
8.625,0.085,9.6101,4.6525,5.8465,7.9576,2.5424,66.8385,116.1539
8.6719,0.1063,2.3163,2.1830000000000003,2.5483,8.4343,2.4889,67.2396,124.093
8.75,0.1475,11.7732,2.0105,2.2465,8.3125,2.497,71.0413,133.4966
8.5469,0.2388,29.4334,0.421,0.3832,4.9481,2.2344,92.3486,161.0044
8.6719,0.1612,6.1079,2.7401,2.4492,8.1619,2.4246,67.6704,122.0252
8.625,0.078,9.8926,4.8613,5.4694,8.0652,2.6002,65.6483,122.673
8.625,0.0654,37.4079,7.0211,5.3145,7.4371,2.575,61.2429,101.8334
8.6719,0.1351,34.3527,2.6715,3.2127,7.761,2.5709,75.7415,140.8746
